max_drawdown,net_profit,number_of_trades,win_rate,expectancy,gross_profit,gross_loss,profit_factor,recovery_factor,longest_losing_streak,simulation_id
710.0,-430.0,135,0.22962962962962963,-3.185185185185185,1546.0,1976.0,0.7823886639676113,-0.6056338028169014,16,134
390.0,-35.0,135,0.2740740740740741,-0.25925925925925924,1827.0,1862.0,0.981203007518797,-0.08974358974358974,14,135
520.0,-390.0,135,0.25925925925925924,-2.888888888888889,1510.0,1900.0,0.7947368421052632,-0.75,12,136
219.0,930.0,135,0.32592592592592595,6.888888888888889,2659.0,1729.0,1.537883169462117,4.2465753424657535,8,137
691.0,-650.0,135,0.2074074074074074,-4.814814814814815,1383.0,2033.0,0.6802754549926218,-0.9406657018813314,17,138
569.0,-175.0,135,0.25925925925925924,-1.2962962962962963,1725.0,1900.0,0.9078947368421053,-0.30755711775043937,16,139
500.0,-290.0,135,0.25925925925925924,-2.1481481481481484,1610.0,1900.0,0.8473684210526315,-0.58,11,140
343.0,-100.0,135,0.2518518518518518,-0.7407407407407407,1819.0,1919.0,0.9478895257946848,-0.2915451895043732,10,141
823.0,-560.0,135,0.2222222222222222,-4.148148148148148,1435.0,1995.0,0.7192982456140351,-0.6804374240583232,13,142
296.0,60.0,135,0.26666666666666666,0.4444444444444444,1941.0,1881.0,1.0318979266347688,0.20270270270270271,8,143
229.0,250.0,135,0.3111111111111111,1.8518518518518519,2017.0,1767.0,1.141482739105829,1.091703056768559,8,144
376.0,230.0,135,0.28888888888888886,1.7037037037037037,2054.0,1824.0,1.1260964912280702,0.6117021276595744,13,145
196.0,50.0,135,0.28888888888888886,0.37037037037037035,1874.0,1824.0,1.0274122807017543,0.25510204081632654,7,146
543.0,-230.0,135,0.24444444444444444,-1.7037037037037037,1708.0,1938.0,0.8813209494324046,-0.42357274401473294,11,147
282.0,-20.0,135,0.24444444444444444,-0.14814814814814814,1918.0,1938.0,0.9896800825593395,-0.07092198581560284,11,148
634.0,-440.0,135,0.21481481481481482,-3.259259259259259,1574.0,2014.0,0.7815292949354519,-0.694006309148265,15,149
466.0,-30.0,135,0.26666666666666666,-0.2222222222222222,1851.0,1881.0,0.9840510366826156,-0.06437768240343347,12,150
332.0,75.0,135,0.28888888888888886,0.5555555555555556,1899.0,1824.0,1.0411184210526316,0.22590361445783133,12,151
404.0,305.0,135,0.31851851851851853,2.259259259259259,2053.0,1748.0,1.1744851258581235,0.754950495049505,13,152
367.0,260.0,135,0.3037037037037037,1.9259259259259258,2046.0,1786.0,1.1455767077267638,0.7084468664850136,15,153
234.0,540.0,135,0.32592592592592595,4.0,2269.0,1729.0,1.3123192596876807,2.3076923076923075,11,154
487.0,-260.0,135,0.2518518518518518,-1.9259259259259258,1659.0,1919.0,0.8645127670661803,-0.5338809034907598,10,155
472.0,410.0,135,0.32592592592592595,3.037037037037037,2139.0,1729.0,1.2371312897628688,0.8686440677966102,17,156
810.0,-640.0,135,0.2074074074074074,-4.7407407407407405,1393.0,2033.0,0.6851942941465814,-0.7901234567901234,14,157
566.0,250.0,135,0.2814814814814815,1.8518518518518519,2093.0,1843.0,1.1356483993488877,0.4416961130742049,13,158
548.0,30.0,135,0.2518518518518518,0.2222222222222222,1949.0,1919.0,1.0156331422615945,0.05474452554744526,16,159
576.0,-165.0,135,0.22962962962962963,-1.2222222222222223,1811.0,1976.0,0.916497975708502,-0.2864583333333333,19,160
274.0,580.0,135,0.3111111111111111,4.296296296296297,2347.0,1767.0,1.3282399547255235,2.116788321167883,14,161
269.0,215.0,135,0.2740740740740741,1.5925925925925926,2077.0,1862.0,1.11546723952739,0.7992565055762082,9,162
165.0,630.0,135,0.35555555555555557,4.666666666666667,2283.0,1653.0,1.381125226860254,3.8181818181818183,6,163
519.0,240.0,135,0.3333333333333333,1.7777777777777777,1950.0,1710.0,1.1403508771929824,0.4624277456647399,16,164
627.0,-350.0,135,0.23703703703703705,-2.5925925925925926,1607.0,1957.0,0.8211548288196219,-0.5582137161084529,19,165
254.0,265.0,135,0.3037037037037037,1.962962962962963,2051.0,1786.0,1.1483762597984322,1.0433070866141732,8,166
663.0,-600.0,135,0.2074074074074074,-4.444444444444445,1433.0,2033.0,0.70486965076242,-0.9049773755656109,15,167
829.0,-745.0,135,0.2,-5.518518518518518,1307.0,2052.0,0.6369395711500975,-0.8986731001206273,17,168
414.0,280.0,135,0.3037037037037037,2.074074074074074,2066.0,1786.0,1.156774916013438,0.6763285024154589,15,169
355.0,125.0,135,0.2814814814814815,0.9259259259259259,1968.0,1843.0,1.0678241996744438,0.352112676056338,14,170
370.0,10.0,135,0.26666666666666666,0.07407407407407407,1891.0,1881.0,1.0053163211057947,0.02702702702702703,14,171
566.0,-105.0,135,0.2814814814814815,-0.7777777777777778,1738.0,1843.0,0.9430276722734672,-0.1855123674911661,11,172
676.0,-625.0,135,0.23703703703703705,-4.62962962962963,1332.0,1957.0,0.6806336228921819,-0.9245562130177515,13,173
477.0,45.0,135,0.2740740740740741,0.3333333333333333,1907.0,1862.0,1.0241675617615467,0.09433962264150944,16,174
866.0,-565.0,135,0.2222222222222222,-4.185185185185185,1430.0,1995.0,0.7167919799498746,-0.6524249422632794,16,175
412.0,265.0,135,0.28888888888888886,1.962962962962963,2089.0,1824.0,1.1452850877192982,0.6432038834951457,15,176
249.0,535.0,135,0.3111111111111111,3.962962962962963,2302.0,1767.0,1.3027730616864743,2.1485943775100402,7,177
460.0,-235.0,135,0.26666666666666666,-1.7407407407407407,1646.0,1881.0,0.8750664540138224,-0.5108695652173914,13,178
392.0,-125.0,135,0.25925925925925924,-0.9259259259259259,1775.0,1900.0,0.9342105263157895,-0.31887755102040816,12,179
