dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,53,10,2817,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,53,10,2817,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,54,8,2509,7.0,8,30,25,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,54,8,2509,7.0,8,30,25,-402.0,3,-402.0,0.0,402.0,0.0,402.0,0.0,-134.0,134.0,3
train,1,0,22406,22406,53560,55,8,2383,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,55,8,2383,7.0,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,56,8,250,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,56,8,250,7.0,8,30,22,-119.0,1,-119.0,0.0,119.0,0.0,119.0,0.0,-119.0,119.0,1
train,1,0,22406,22406,53560,57,8,3178,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,57,8,3178,7.5,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,58,8,250,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,58,8,250,7.5,8,30,22,-119.0,1,-119.0,0.0,119.0,0.0,119.0,0.0,-119.0,119.0,1
train,1,0,22406,22406,53560,59,10,250,7.0,8,30,25,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,59,10,250,7.0,8,30,25,-134.0,1,-134.0,0.0,134.0,0.0,134.0,0.0,-134.0,134.0,1
train,1,0,22406,22406,53560,60,8,2709,7.25,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,60,8,2709,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,61,8,2383,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,61,8,2383,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,62,8,2922,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,62,8,2922,7.0,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,63,10,3418,7.0,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,63,10,3418,7.0,8,30,24,-387.0,3,-387.0,0.0,387.0,0.0,387.0,0.0,-129.0,129.0,3
train,1,0,22406,22406,53560,64,8,2483,7.25,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,64,8,2483,7.25,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,65,8,2509,7.5,8,30,25,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,65,8,2509,7.5,8,30,25,-402.0,3,-402.0,0.0,402.0,0.0,402.0,0.0,-134.0,134.0,3
train,1,0,22406,22406,53560,66,8,2922,6.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,66,8,2922,6.5,8,30,22,-595.0,5,-595.0,0.0,595.0,0.0,595.0,0.0,-119.0,119.0,5
train,1,0,22406,22406,53560,67,10,2383,7.5,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,67,10,2383,7.5,8,30,24,-387.0,3,-387.0,0.0,387.0,0.0,387.0,0.0,-129.0,129.0,3
train,1,0,22406,22406,53560,68,8,3009,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,68,8,3009,7.5,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,69,10,278,6.75,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,69,10,278,6.75,8,30,24,-129.0,1,-129.0,0.0,129.0,0.0,129.0,0.0,-129.0,129.0,1
train,1,0,22406,22406,53560,70,8,2759,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,70,8,2759,7.5,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,71,8,2483,6.5,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,71,8,2483,6.5,8,30,23,-620.0,5,-620.0,0.0,620.0,0.0,620.0,0.0,-124.0,124.0,5
train,1,0,22406,22406,53560,72,8,2922,7.25,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,72,8,2922,7.25,8,30,24,-387.0,3,-387.0,0.0,387.0,0.0,387.0,0.0,-129.0,129.0,3
train,1,0,22406,22406,53560,73,8,250,7.0,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,73,8,250,7.0,8,30,23,-124.0,1,-124.0,0.0,124.0,0.0,124.0,0.0,-124.0,124.0,1
train,1,0,22406,22406,53560,74,8,230,7.0,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,74,8,230,7.0,8,30,23,-124.0,1,-124.0,0.0,124.0,0.0,124.0,0.0,-124.0,124.0,1
train,1,0,22406,22406,53560,75,10,2502,7.25,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,75,10,2502,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,76,10,2383,6.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,76,10,2383,6.5,8,30,22,-595.0,5,-595.0,0.0,595.0,0.0,595.0,0.0,-119.0,119.0,5
train,1,0,22406,22406,53560,77,8,2922,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,77,8,2922,7.5,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,78,8,2383,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,78,8,2383,7.5,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,79,8,3009,7.25,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,79,8,3009,7.25,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
train,1,0,22406,22406,53560,80,8,2438,6.75,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,80,8,2438,6.75,8,30,24,-645.0,5,-645.0,0.0,645.0,0.0,645.0,0.0,-129.0,129.0,5
train,1,0,22406,22406,53560,81,8,2483,6.75,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,81,8,2483,6.75,8,30,24,-645.0,5,-645.0,0.0,645.0,0.0,645.0,0.0,-129.0,129.0,5
train,1,0,22406,22406,53560,82,8,250,7.5,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,82,8,250,7.5,8,30,22,-119.0,1,-119.0,0.0,119.0,0.0,119.0,0.0,-119.0,119.0,1
train,1,0,22406,22406,53560,83,8,2922,7.75,8,30,25,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,83,8,2922,7.75,8,30,25,-402.0,3,-402.0,0.0,402.0,0.0,402.0,0.0,-134.0,134.0,3
train,1,0,22406,22406,53560,84,10,2922,6.75,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,84,10,2922,6.75,8,30,24,-645.0,5,-645.0,0.0,645.0,0.0,645.0,0.0,-129.0,129.0,5
train,1,0,22406,22406,53560,85,10,3009,7.25,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,85,10,3009,7.25,8,30,24,-387.0,3,-387.0,0.0,387.0,0.0,387.0,0.0,-129.0,129.0,3
train,1,0,22406,22406,53560,86,10,278,7.0,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,86,10,278,7.0,8,30,22,-119.0,1,-119.0,0.0,119.0,0.0,119.0,0.0,-119.0,119.0,1
train,1,0,22406,22406,53560,87,10,2532,6.75,8,30,24,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,87,10,2532,6.75,8,30,24,-645.0,5,-645.0,0.0,645.0,0.0,645.0,0.0,-129.0,129.0,5
train,1,0,22406,22406,53560,88,10,278,6.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,88,10,278,6.75,8,30,22,-119.0,1,-119.0,0.0,119.0,0.0,119.0,0.0,-119.0,119.0,1
train,1,0,22406,22406,53560,89,8,2532,7.75,8,30,22,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,89,8,2532,7.75,8,30,22,-357.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3
train,1,0,22406,22406,53560,90,9,2922,7.75,8,30,23,146.0,1,146.0,146.0,0.0,inf,0.0,1.0,146.0,0.0,0
test,1,0,22406,22406,53560,90,9,2922,7.75,8,30,23,-372.0,3,-372.0,0.0,372.0,0.0,372.0,0.0,-124.0,124.0,3
