dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,67,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,67,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,68,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,68,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,69,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,69,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,70,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,70,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,71,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,71,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,72,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,72,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,73,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,73,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,74,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,74,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,75,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,75,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,76,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,76,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,77,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,77,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,78,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,78,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,79,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,79,6
test,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,106.8,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,80,6
train,2,22406,86986,86986,125287,6,13,695,5.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,80,6
