generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
4,2,22406,86986,86986,125287,432.7493500861671,74.72426001383029,151.84666234125854,-1000.0,300.9397311910295,1432.7493500861672,3,rolling,losing_streak_fitness,2_days,rep_1
5,2,22406,86986,86986,125287,560.0285706997457,173.13283902645816,232.48375085004864,-1000.0,293.9940404878912,1560.0285706997456,0,rolling,losing_streak_fitness,2_days,rep_1
6,2,22406,86986,86986,125287,560.0285706997457,281.1920196015367,309.5529033945571,-1000.0,209.94276664143396,1560.0285706997456,1,rolling,losing_streak_fitness,2_days,rep_1
7,2,22406,86986,86986,125287,560.0285706997457,364.2973757704391,376.1808075912433,121.62236636408618,87.24070965427347,438.40620433565954,2,rolling,losing_streak_fitness,2_days,rep_1
8,2,22406,86986,86986,125287,560.0285706997457,407.0603270141647,388.9254427264949,89.5488693395958,85.50573063151732,470.47970136014993,3,rolling,losing_streak_fitness,2_days,rep_1
9,2,22406,86986,86986,125287,560.0285706997457,415.99485252423455,446.89148570989806,-14.966629547095764,116.02539200206424,574.9952002468415,4,rolling,losing_streak_fitness,2_days,rep_1
10,2,22406,86986,86986,125287,560.0285706997457,430.3091264627713,455.6050921576711,158.11388300841898,107.78707584885716,401.9146876913268,5,rolling,losing_streak_fitness,2_days,rep_1
11,2,22406,86986,86986,125287,560.0285706997457,455.467431611265,503.46002820482187,209.30360723121808,103.5488892557455,350.7249634685277,6,rolling,losing_streak_fitness,2_days,rep_1
12,2,22406,86986,86986,125287,560.0285706997457,473.70700004258,504.5948870133346,74.27435627455819,103.0673870503816,485.7542144251876,7,rolling,losing_streak_fitness,2_days,rep_1
13,2,22406,86986,86986,125287,560.0285706997457,485.5686892505663,507.9842517244014,117.57550765359254,102.26402015207384,442.4530630461532,8,rolling,losing_streak_fitness,2_days,rep_1
14,2,22406,86986,86986,125287,560.0285706997457,503.5171594110722,560.0285706997457,74.27435627455819,116.22335462464945,485.7542144251876,9,rolling,losing_streak_fitness,2_days,rep_1
15,2,22406,86986,86986,125287,560.0285706997457,535.5690994534342,560.0285706997457,74.27435627455819,84.29034723506432,485.7542144251876,10,rolling,losing_streak_fitness,2_days,rep_1
16,2,22406,86986,86986,125287,560.0285706997457,519.4715496936192,560.0285706997457,78.57480512225277,115.29659407354326,481.45376557749296,11,rolling,losing_streak_fitness,2_days,rep_1
17,2,22406,86986,86986,125287,560.0285706997457,526.3230404592023,560.0285706997457,4.848732213850611,112.79780239917224,555.1798384858951,12,rolling,losing_streak_fitness,2_days,rep_1
18,2,22406,86986,86986,125287,560.0285706997457,512.9402513062513,560.0285706997457,4.848732213850611,128.9629133593921,555.1798384858951,13,rolling,losing_streak_fitness,2_days,rep_1
19,2,22406,86986,86986,125287,560.0285706997457,518.9429799215965,560.0285706997457,74.27435627455819,117.69509009477726,485.7542144251876,14,rolling,losing_streak_fitness,2_days,rep_1
20,2,22406,86986,86986,125287,560.0285706997457,537.8845094283716,560.0285706997457,78.57480512225277,82.3596879485943,481.45376557749296,15,rolling,losing_streak_fitness,2_days,rep_1
21,2,22406,86986,86986,125287,560.0285706997457,524.9676976091796,560.0285706997457,78.57480512225277,108.46410040973872,481.45376557749296,16,rolling,losing_streak_fitness,2_days,rep_1
22,2,22406,86986,86986,125287,560.0285706997457,526.7129924589696,560.0285706997457,105.65509926170152,104.47456833703404,454.37347143804425,17,rolling,losing_streak_fitness,2_days,rep_1
23,2,22406,86986,86986,125287,560.0285706997457,514.0824454598105,560.0285706997457,74.27435627455819,123.71426499679832,485.7542144251876,18,rolling,losing_streak_fitness,2_days,rep_1
24,2,22406,86986,86986,125287,560.0285706997457,509.6312420592868,560.0285706997457,4.848732213850611,136.42166331401765,555.1798384858951,19,rolling,losing_streak_fitness,2_days,rep_1
25,2,22406,86986,86986,125287,560.0285706997457,539.2094792167928,560.0285706997457,117.57550765359254,79.92690804132036,442.4530630461532,20,rolling,losing_streak_fitness,2_days,rep_1
26,2,22406,86986,86986,125287,560.0285706997457,530.2160817486425,560.0285706997457,105.65509926170152,93.76630716149576,454.37347143804425,21,rolling,losing_streak_fitness,2_days,rep_1
27,2,22406,86986,86986,125287,560.0285706997457,546.7809228882137,560.0285706997457,105.65509926170152,70.63186940231793,454.37347143804425,22,rolling,losing_streak_fitness,2_days,rep_1
