generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
85,1,0,86986,86986,125287,314.0,298.15,314.0,73.0,46.68449334834769,241.0,74,rolling,net_profit_fitness,3_days,rep_1
86,1,0,86986,86986,125287,314.0,298.21,314.0,73.0,51.94116621211683,241.0,75,rolling,net_profit_fitness,3_days,rep_1
87,1,0,86986,86986,125287,314.0,298.09,314.0,73.0,48.53595876182207,241.0,76,rolling,net_profit_fitness,3_days,rep_1
88,1,0,86986,86986,125287,314.0,304.55,314.0,73.0,39.3128798900885,241.0,77,rolling,net_profit_fitness,3_days,rep_1
89,1,0,86986,86986,125287,314.0,304.03,314.0,73.0,39.293882372695016,241.0,78,rolling,net_profit_fitness,3_days,rep_1
90,1,0,86986,86986,125287,314.0,300.05,314.0,73.0,40.984938105542525,241.0,79,rolling,net_profit_fitness,3_days,rep_1
91,1,0,86986,86986,125287,314.0,302.01,314.0,73.0,42.690924685523626,241.0,80,rolling,net_profit_fitness,3_days,rep_1
92,1,0,86986,86986,125287,314.0,304.67,314.0,73.0,35.80617152380186,241.0,81,rolling,net_profit_fitness,3_days,rep_1
93,1,0,86986,86986,125287,314.0,304.62,314.0,73.0,37.19801775972108,241.0,82,rolling,net_profit_fitness,3_days,rep_1
94,1,0,86986,86986,125287,314.0,301.9,314.0,73.0,41.46496634923793,241.0,83,rolling,net_profit_fitness,3_days,rep_1
95,1,0,86986,86986,125287,314.0,307.46,314.0,73.0,30.32697902142013,241.0,84,rolling,net_profit_fitness,3_days,rep_1
96,1,0,86986,86986,125287,314.0,306.47,314.0,73.0,29.70986130202998,241.0,85,rolling,net_profit_fitness,3_days,rep_1
97,1,0,86986,86986,125287,314.0,303.04,314.0,73.0,37.49933871470808,241.0,86,rolling,net_profit_fitness,3_days,rep_1
98,1,0,86986,86986,125287,314.0,304.32,314.0,73.0,35.11046924358959,241.0,87,rolling,net_profit_fitness,3_days,rep_1
99,1,0,86986,86986,125287,314.0,292.84,314.0,73.0,58.6214908708333,241.0,88,rolling,net_profit_fitness,3_days,rep_1
100,1,0,86986,86986,125287,314.0,306.91,314.0,184.0,28.34210024794645,130.0,89,rolling,net_profit_fitness,3_days,rep_1
0,2,22406,125287,125287,130699,157.0,-5672.47,-1291.0,-45278.0,9752.66856250124,45435.0,0,rolling,net_profit_fitness,3_days,rep_1
1,2,22406,125287,125287,130699,262.0,-1093.67,-356.0,-20768.0,2711.46600198103,21030.0,0,rolling,net_profit_fitness,3_days,rep_1
2,2,22406,125287,125287,130699,333.0,-246.95,-26.0,-7606.0,894.3854543255335,7939.0,0,rolling,net_profit_fitness,3_days,rep_1
3,2,22406,125287,125287,130699,320.0,63.79,127.0,-2941.0,342.9977558309245,3261.0,1,rolling,net_profit_fitness,3_days,rep_1
