generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
55,1,0,22406,22406,53560,1025.21412397606,949.538730886919,1025.21412397606,6.92820323027551,214.38362497455097,1018.2859207457844,44,rolling,losing_streak_fitness,1_day,rep_1
56,1,0,22406,22406,53560,1025.21412397606,931.3776937101136,1025.21412397606,15.839191898578663,239.91264268568935,1009.3749320774812,45,rolling,losing_streak_fitness,1_day,rep_1
57,1,0,22406,22406,53560,1025.21412397606,932.3613162456228,1025.21412397606,44.15155716393251,230.1473003695732,981.0625668121274,46,rolling,losing_streak_fitness,1_day,rep_1
58,1,0,22406,22406,53560,1025.21412397606,940.0234745416142,1025.21412397606,6.92820323027551,241.19065389431657,1018.2859207457844,47,rolling,losing_streak_fitness,1_day,rep_1
59,1,0,22406,22406,53560,1025.21412397606,966.649238431722,1025.21412397606,15.839191898578663,186.5510173792172,1009.3749320774812,48,rolling,losing_streak_fitness,1_day,rep_1
60,1,0,22406,22406,53560,1025.21412397606,949.7304457892084,1025.21412397606,44.15155716393251,228.84636578357996,981.0625668121274,49,rolling,losing_streak_fitness,1_day,rep_1
61,1,0,22406,22406,53560,1025.21412397606,941.023521663308,1025.21412397606,6.92820323027551,238.51837699224143,1018.2859207457844,50,rolling,losing_streak_fitness,1_day,rep_1
62,1,0,22406,22406,53560,1025.21412397606,929.590796469259,1025.21412397606,6.92820323027551,247.3267090913266,1018.2859207457844,51,rolling,losing_streak_fitness,1_day,rep_1
63,1,0,22406,22406,53560,1025.21412397606,940.2205550232154,1025.21412397606,6.92820323027551,247.66633806788093,1018.2859207457844,52,rolling,losing_streak_fitness,1_day,rep_1
64,1,0,22406,22406,53560,1025.21412397606,908.1741478343888,1025.21412397606,6.92820323027551,268.9725776084493,1018.2859207457844,53,rolling,losing_streak_fitness,1_day,rep_1
65,1,0,22406,22406,53560,1025.21412397606,904.085978861396,1025.21412397606,15.839191898578663,285.78247241852625,1009.3749320774812,54,rolling,losing_streak_fitness,1_day,rep_1
66,1,0,22406,22406,53560,1025.21412397606,951.6842391346042,1025.21412397606,15.839191898578663,236.4822100913364,1009.3749320774812,55,rolling,losing_streak_fitness,1_day,rep_1
67,1,0,22406,22406,53560,1025.21412397606,903.6401095751048,1025.21412397606,6.92820323027551,291.3612944544135,1018.2859207457844,56,rolling,losing_streak_fitness,1_day,rep_1
68,1,0,22406,22406,53560,1025.21412397606,942.1679432120844,1025.21412397606,6.92820323027551,247.58509032863407,1018.2859207457844,57,rolling,losing_streak_fitness,1_day,rep_1
69,1,0,22406,22406,53560,1025.21412397606,922.2154958217736,1025.21412397606,15.839191898578663,269.5367122652965,1009.3749320774812,58,rolling,losing_streak_fitness,1_day,rep_1
70,1,0,22406,22406,53560,1025.21412397606,919.0250158405142,1025.21412397606,6.92820323027551,264.5747213761228,1018.2859207457844,59,rolling,losing_streak_fitness,1_day,rep_1
71,1,0,22406,22406,53560,1025.21412397606,891.5206491514132,1025.21412397606,6.92820323027551,295.0825916512135,1018.2859207457844,60,rolling,losing_streak_fitness,1_day,rep_1
72,1,0,22406,22406,53560,1025.21412397606,962.0621587534856,1025.21412397606,15.839191898578663,198.3723404971645,1009.3749320774812,61,rolling,losing_streak_fitness,1_day,rep_1
73,1,0,22406,22406,53560,1025.21412397606,949.7986830452668,1025.21412397606,6.92820323027551,235.3249508882987,1018.2859207457844,62,rolling,losing_streak_fitness,1_day,rep_1
74,1,0,22406,22406,53560,1025.21412397606,911.0341056555142,1025.21412397606,6.92820323027551,286.17932418038,1018.2859207457844,63,rolling,losing_streak_fitness,1_day,rep_1
75,1,0,22406,22406,53560,1025.21412397606,941.0566942445564,1025.21412397606,6.92820323027551,230.12617848200563,1018.2859207457844,64,rolling,losing_streak_fitness,1_day,rep_1
76,1,0,22406,22406,53560,1025.21412397606,900.3638934162891,1025.21412397606,15.839191898578663,286.8854627629403,1009.3749320774812,65,rolling,losing_streak_fitness,1_day,rep_1
77,1,0,22406,22406,53560,1025.21412397606,905.1525893204046,1025.21412397606,6.92820323027551,278.3583727560544,1018.2859207457844,66,rolling,losing_streak_fitness,1_day,rep_1
78,1,0,22406,22406,53560,1025.21412397606,914.2173246164476,1025.21412397606,15.839191898578663,269.59797879967715,1009.3749320774812,67,rolling,losing_streak_fitness,1_day,rep_1
79,1,0,22406,22406,53560,1025.21412397606,865.8555009978145,1025.21412397606,6.92820323027551,319.6835589618695,1018.2859207457844,68,rolling,losing_streak_fitness,1_day,rep_1
